ut,muf_tot,muf_in,fg_in,fg_out,dp16,dp40,P_in
0.000014624,0.043103,0.021198,0.2958,0.29732,0.15,0.61,80.61
0.000014597,0.049554,0.028317,0.39494,0.39693,0.2,0.7,80.7
0.000014566,0.060302,0.034053,0.49427,0.4968,0.24,0.85,80.85
0.000014532,0.070395,0.042663,0.59409,0.59693,0.3,0.99,80.99
0.00001449,0.088428,0.05705,0.69419,0.69731,0.4,1.24,81.24
0.000014458,0.091484,0.044312,0.79548,0.79795,0.31,1.28,81.28
0.000014437,0.083025,0.028629,0.89758,0.89884,0.2,1.16,81.16
0.000014453,0.057199,0.02145,0.94893,0.94939,0.15,0.8,80.8
0.000014452,0.044332,0.017161,0.97959,0.97974,0.12,0.62,80.62
0.000014573,0.034036,0.019854,0.23308,0.23411,0.14,0.48,80.48
