ut,muf_tot,muf_in,fg_in,fg_out,dp16,dp40,P_in
0.0000151,0.53766,0.8245,0.21367,0.2298,6.295,8.21,88.21
0.000015286,0.57672,0.91796,0.31632,0.33858,7.095,8.915,88.915
0.00001546,0.61503,0.97868,0.41678,0.4434,7.65,9.615,89.615
0.000015604,0.66986,1.1357,0.51478,0.54434,8.96,10.57,90.57
0.000015729,0.73213,1.1694,0.61149,0.64188,9.3,11.645,91.645
0.000015824,0.80147,1.2667,0.70745,0.73598,10.135,12.825,92.825
0.000015897,0.87274,1.3461,0.80371,0.82694,10.82,14.03,94.03
0.000016063,0.85325,1.2669,0.90225,0.91491,10.29,13.86,93.86
0.000016498,0.58351,0.87091,0.95314,0.95781,7.265,9.735,89.735
0.000016985,0.30013,0.45122,0.98219,0.9832,3.875,5.155,85.155
